date,value
2025-09-06,99.14928774928777
2025-09-07,100.0
2025-09-08,100.0
2025-09-19,99.4079663460124
2025-09-29,99.93029371128048
2025-09-30,100.0
2025-10-01,100.0
2025-10-02,100.0
2025-10-03,100.0
2025-10-04,100.0
2025-10-05,100.0
2025-10-06,100.0
2025-10-07,100.0
2025-10-08,100.0
2025-10-09,100.0
2025-10-10,100.0
2025-10-11,100.0
2025-10-12,100.0
2025-10-13,100.0
2025-10-14,100.0
2025-10-15,100.0
2025-10-16,100.0
2025-10-17,100.0
2025-10-18,100.0
2025-10-19,100.0
2025-10-20,100.0
2025-10-21,100.0
2025-10-22,100.0
2025-10-23,100.0
2025-10-24,100.0
2025-10-25,100.0
2025-10-26,100.0
2025-10-27,100.0
2025-10-28,100.0
2025-10-29,100.0
2025-10-30,100.0
2025-10-31,100.0
2025-11-01,100.0
2025-11-02,100.0
2025-11-03,100.0
2025-11-04,100.0
2025-11-05,100.0
2025-11-06,100.0
2025-11-07,100.0
2025-11-08,100.0
2025-11-09,100.0
2025-11-10,100.0
2025-11-11,100.0
2025-11-12,100.0
2025-11-13,100.0
2025-11-14,100.0
2025-11-15,100.0
2025-11-16,100.0
2025-11-17,100.0
2025-11-18,100.0
2025-11-19,100.0
2025-11-20,100.0
2025-11-21,100.0
2025-11-22,100.0
2025-11-23,100.0
2025-11-24,100.0
2025-11-25,100.0
2025-11-26,100.0
2025-11-27,100.0
2025-11-28,100.0
2025-11-29,100.0
2025-11-30,100.0
2025-12-01,100.0
2025-12-02,100.0
2025-12-03,100.0
2025-12-04,100.0
2025-12-05,100.0
2025-12-06,100.0
2025-12-07,100.0
2025-12-08,100.0
2025-12-09,100.0
2025-12-10,100.0
2025-12-11,100.0
2025-12-12,100.0
2025-12-13,100.0
2025-12-14,100.0
2025-12-15,100.0
2025-12-16,100.0
2025-12-17,100.0
2025-12-18,100.0
