date,value
2025-09-07,100.0
2025-09-09,100.0
2025-09-11,100.0
2025-09-13,100.0
2025-09-15,100.0
2025-09-17,100.0
2025-09-19,100.0
2025-09-21,100.0
2025-09-23,100.0
2025-09-25,100.0
2025-09-27,100.0
2025-09-29,100.0
2025-10-01,100.0
2025-10-03,100.0
2025-10-05,100.0
2025-10-07,100.0
2025-10-09,100.0
2025-10-11,100.0
2025-10-13,100.0
2025-10-15,100.0
2025-10-17,100.0
2025-10-19,100.0
2025-10-21,100.0
2025-10-23,100.0
2025-10-25,100.0
2025-10-27,100.0
2025-10-29,100.0
2025-10-31,100.0
2025-11-02,100.0
2025-11-04,100.0
2025-11-06,100.0
2025-11-08,100.0
2025-11-10,100.0
2025-11-12,100.0
2025-11-14,100.0
2025-11-16,100.0
2025-11-18,100.0
2025-11-20,100.0
2025-11-22,100.0
2025-11-24,100.0
2025-11-26,100.0
2025-11-28,100.0
2025-11-30,100.0
2025-12-02,100.0
2025-12-04,100.0
2025-12-06,100.0
2025-12-08,100.0
2025-12-10,100.0
2025-12-12,100.0
2025-12-14,100.0
2025-12-16,100.0
2025-12-18,100.0
